Modulo,Archivo PHP,Asset Referenciado,Tipo,Estado,Ruta Completa
red-social,class-red-social-module.php,assets/css/red-social.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/red-social/assets/css/red-social.css
red-social,class-red-social-module.php,assets/js/red-social.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/red-social/assets/js/red-social.js
reservas,frontend/class-reservas-frontend-controller.php,assets/css/reservas.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/reservas/assets/css/reservas.css
reservas,frontend/class-reservas-frontend-controller.php,assets/js/reservas.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/reservas/assets/js/reservas.js
saberes-ancestrales,class-saberes-ancestrales-module.php,assets/css/saberes-ancestrales.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/saberes-ancestrales/assets/css/saberes-ancestrales.css
saberes-ancestrales,class-saberes-ancestrales-module.php,assets/js/saberes-ancestrales.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/saberes-ancestrales/assets/js/saberes-ancestrales.js
sello-conciencia,class-sello-conciencia-module.php,assets/css/sello-conciencia.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/sello-conciencia/assets/css/sello-conciencia.css
socios,class-socios-module.php,assets/css/socios.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/socios/assets/css/socios.css
socios,class-socios-module.php,assets/js/socios.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/socios/assets/js/socios.js
talleres,class-talleres-module.php,assets/css/talleres.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/talleres/assets/css/talleres.css
talleres,class-talleres-module.php,assets/js/talleres.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/talleres/assets/js/talleres.js
trabajo-digno,class-trabajo-digno-module.php,assets/css/trabajo-digno.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/trabajo-digno/assets/css/trabajo-digno.css
trabajo-digno,class-trabajo-digno-module.php,assets/js/trabajo-digno.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/trabajo-digno/assets/js/trabajo-digno.js
tramites,class-tramites-module.php,assets/css/tramites.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/tramites/assets/css/tramites.css
tramites,class-tramites-module.php,assets/js/tramites.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/tramites/assets/js/tramites.js
transparencia,class-transparencia-module.php,assets/css/transparencia.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/transparencia/assets/css/transparencia.css
transparencia,class-transparencia-module.php,assets/js/transparencia.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/includes/modules/transparencia/assets/js/transparencia.js
shared-features,class-shared-features.php,assets/css/shared-features.css,CSS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/assets/css/shared-features.css
shared-features,class-shared-features.php,assets/js/shared-features.js,JS,EXISTE,/home/josu/Local Sites/sitio-prueba/app/public/wp-content/plugins/flavor-chat-ia/assets/js/shared-features.js
