file,line,href,severity,reason,snippet
includes/templates/components/bicicletas-compartidas/hero.php,38,#mapa-estaciones,ALTO,anchor_sin_id_en_templates,"<a href=""#mapa-estaciones"" class=""flavor-button flavor-button-primary px-8"">Ver Estaciones</a>"
includes/templates/components/bicicletas-compartidas/hero.php,39,#tipos-bicicletas,ALTO,anchor_sin_id_en_templates,"<a href=""#tipos-bicicletas"" class=""flavor-button px-8"" style=""background: white; color: var(--flavor-primary);"">Tipos de Bicis</a>"
includes/templates/components/bicicletas-compartidas/hero.php,40,#desbloquear,ALTO,anchor_sin_id_en_templates,"<a href=""#desbloquear"" class=""flavor-button px-8"" style=""background: rgba(255,255,255,0.2); color: white; border: 2px solid white;"">Desbloquear</a>"
includes/templates/components/bicicletas-compartidas/tipos-bicicletas.php,257,#descargar-app,ALTO,anchor_sin_id_en_templates,"<a href=""#descargar-app"" class=""inline-flex items-center gap-3 px-8 py-4 bg-white text-blue-600 font-bold rounded-xl hover:bg-blue-50 transition-colors shadow-2xl"">"
includes/templates/components/parkings/hero.php,39,#parkings-disponibles,MEDIO,anchor_global_ok,"<a href=""#parkings-disponibles"""
includes/templates/components/parkings/hero.php,47,#ofrecer-plaza,MEDIO,anchor_global_ok,"<a href=""#ofrecer-plaza"""
includes/templates/components/talleres/talleres-grid.php,336,#,ALTO,href_vacio,"<a href=""#"" class=""relative inline-flex items-center px-4 py-2 rounded-l-lg border-r border-gray-200 text-sm font-medium text-gray-700 hover:bg-gray-50 focus:z-10 focus:outline-non"
includes/templates/components/talleres/talleres-grid.php,342,#,ALTO,href_vacio,"<a href=""#"" class=""relative inline-flex items-center px-4 py-2 border-r border-gray-200 text-sm font-medium text-white bg-emerald-600 hover:bg-emerald-700 focus:z-10 focus:outline-"
includes/templates/components/talleres/talleres-grid.php,345,#,ALTO,href_vacio,"<a href=""#"" class=""relative inline-flex items-center px-4 py-2 border-r border-gray-200 text-sm font-medium text-gray-700 hover:bg-gray-50 focus:z-10 focus:outline-none focus:ring-"
includes/templates/components/talleres/talleres-grid.php,348,#,ALTO,href_vacio,"<a href=""#"" class=""relative inline-flex items-center px-4 py-2 border-r border-gray-200 text-sm font-medium text-gray-700 hover:bg-gray-50 focus:z-10 focus:outline-none focus:ring-"
includes/templates/components/talleres/talleres-grid.php,354,#,ALTO,href_vacio,"<a href=""#"" class=""relative inline-flex items-center px-4 py-2 rounded-r-lg text-sm font-medium text-gray-700 hover:bg-gray-50 focus:z-10 focus:outline-none focus:ring-2 focus:ring"
includes/templates/components/espacios-comunes/hero.php,68,#espacios,MEDIO,anchor_global_ok,"<a href=""#espacios"" class=""bg-white text-purple-700 hover:bg-purple-50 px-8 py-4 rounded-full font-semibold text-lg transition-all duration-300 transform hover:scale-105 shadow-lg "
includes/templates/components/espacios-comunes/hero.php,71,#calendario,MEDIO,anchor_global_ok,"<a href=""#calendario"" class=""bg-purple-500 bg-opacity-30 backdrop-blur-sm hover:bg-opacity-40 text-white border-2 border-white border-opacity-50 px-8 py-4 rounded-full font-semibol"
includes/templates/components/landings/ofimatica-hero.php,25,#,ALTO,href_vacio,"<a href=""#"" class=""inline-flex items-center px-8 py-4 bg-sky-500 hover:bg-sky-600 text-white font-semibold rounded-xl transition-all shadow-lg shadow-sky-500/30"">"
includes/templates/components/landings/ofimatica-hero.php,28,#,ALTO,href_vacio,"<a href=""#"" class=""inline-flex items-center px-8 py-4 bg-white border-2 border-gray-200 hover:border-sky-300 text-gray-700 font-semibold rounded-xl transition-all"">"
includes/templates/components/landings/saas-hero.php,24,#,ALTO,href_vacio,"<a href=""#"" class=""inline-flex items-center px-8 py-4 bg-white text-violet-900 font-bold rounded-xl hover:bg-violet-100 transition-all shadow-lg shadow-violet-500/30"">"
includes/templates/components/landings/saas-hero.php,30,#,ALTO,href_vacio,"<a href=""#"" class=""inline-flex items-center px-8 py-4 bg-violet-500/20 text-white border border-violet-400/30 font-semibold rounded-xl hover:bg-violet-500/30 transition-all"">"
includes/templates/components/landings/agencia-portfolio.php,24,#,ALTO,href_vacio,"<a href=""#"" class=""mt-4 md:mt-0 inline-flex items-center text-white/70 hover:text-white transition-colors"">"
includes/templates/components/landings/grupos-consumo-hero.php,37,#como-funciona,ALTO,anchor_sin_id_en_templates,"<a href=""#como-funciona"" class=""bg-white/20 text-white px-8 py-3 rounded-xl font-semibold hover:bg-white/30 transition-colors"">"
