source_page,link,resolved_url,http_status,result,final_url,title
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/36/,http://localhost:10028/mi-portal/banco-tiempo/editar/36/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/36/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/25/,http://localhost:10028/mi-portal/banco-tiempo/editar/25/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/25/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/9/,http://localhost:10028/mi-portal/banco-tiempo/editar/9/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/9/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/140/,http://localhost:10028/mi-portal/banco-tiempo/editar/140/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/140/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/73/,http://localhost:10028/mi-portal/banco-tiempo/editar/73/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/73/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/57/,http://localhost:10028/mi-portal/banco-tiempo/editar/57/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/57/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/131/,http://localhost:10028/mi-portal/banco-tiempo/editar/131/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/131/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/22/,http://localhost:10028/mi-portal/banco-tiempo/editar/22/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/22/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/42/,http://localhost:10028/mi-portal/banco-tiempo/editar/42/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/42/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/126/,http://localhost:10028/mi-portal/banco-tiempo/editar/126/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/126/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/152/,http://localhost:10028/mi-portal/banco-tiempo/editar/152/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/152/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/105/,http://localhost:10028/mi-portal/banco-tiempo/editar/105/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/105/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/154/,http://localhost:10028/mi-portal/banco-tiempo/editar/154/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/154/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/94/,http://localhost:10028/mi-portal/banco-tiempo/editar/94/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/94/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/26/,http://localhost:10028/mi-portal/banco-tiempo/editar/26/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/26/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/100/,http://localhost:10028/mi-portal/banco-tiempo/editar/100/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/100/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/148/,http://localhost:10028/mi-portal/banco-tiempo/editar/148/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/148/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/41/,http://localhost:10028/mi-portal/banco-tiempo/editar/41/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/41/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/147/,http://localhost:10028/mi-portal/banco-tiempo/editar/147/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/147/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/98/,http://localhost:10028/mi-portal/banco-tiempo/editar/98/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/98/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/39/,http://localhost:10028/mi-portal/banco-tiempo/editar/39/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/39/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/54/,http://localhost:10028/mi-portal/banco-tiempo/editar/54/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/54/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/63/,http://localhost:10028/mi-portal/banco-tiempo/editar/63/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/63/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/76/,http://localhost:10028/mi-portal/banco-tiempo/editar/76/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/76/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/133/,http://localhost:10028/mi-portal/banco-tiempo/editar/133/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/133/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/37/,http://localhost:10028/mi-portal/banco-tiempo/editar/37/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/37/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/17/,http://localhost:10028/mi-portal/banco-tiempo/editar/17/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/17/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/cookies,http://localhost:10028/cookies,404,NOT_FOUND,http://localhost:10028/cookies,Page not found &#8211; sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/6/,http://localhost:10028/mi-portal/banco-tiempo/editar/6/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/6/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/21/,http://localhost:10028/mi-portal/banco-tiempo/editar/21/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/21/,Banco tiempo - sitio prueba
/mi-portal/banco-tiempo/,http://localhost:10028/mi-portal/banco-tiempo/editar/106/,http://localhost:10028/mi-portal/banco-tiempo/editar/106/,200,OK,http://localhost:10028/mi-portal/banco-tiempo/editar/106/,Banco tiempo - sitio prueba
