slug,status,ref_count,sample_files,url,title
flavor-chat-config,AUTH_REQUIRED,8,admin/class-dashboard.php|admin/class-documentation-admin.php|includes/core/class-chat-antispam.php|includes/dashboard/class-dashboard-manager.php|includes/dashboard/class-dashboard-manager.php,http://localhost:10028/wp-admin/admin.php?page=flavor-chat-config,Configuración IA &lsaquo; sitio prueba &#8212; WordPress
flavor-chat-cursos,NO_ACCESS_OR_MISSING,1,includes/modules/cursos/views/cursos.php,http://localhost:10028/wp-admin/admin.php?page=flavor-chat-cursos,WordPress &rsaquo; Error
flavor-chat-ia,AUTH_REQUIRED,1,includes/visual-builder-pro/views/editor-fullscreen.php,http://localhost:10028/wp-admin/admin.php?page=flavor-chat-ia,Flavor Platform &lsaquo; sitio prueba &#8212; WordPress
flavor-chat-ia-escalations,AUTH_REQUIRED,2,includes/core/class-chat-escalation.php|includes/dashboard/class-dashboard-manager.php,http://localhost:10028/wp-admin/admin.php?page=flavor-chat-ia-escalations,Escalados &lsaquo; sitio prueba &#8212; WordPress
flavor-chat-interno-conversaciones,AUTH_REQUIRED,2,includes/modules/chat-interno/class-chat-interno-module.php|includes/modules/chat-interno/class-chat-interno-module.php,http://localhost:10028/wp-admin/admin.php?page=flavor-chat-interno-conversaciones,Conversaciones &lsaquo; sitio prueba &#8212; WordPress
flavor-chat-podcast,NO_ACCESS_OR_MISSING,2,includes/modules/podcast/views/series.php|includes/modules/podcast/views/series.php,http://localhost:10028/wp-admin/admin.php?page=flavor-chat-podcast,WordPress &rsaquo; Error
flavor-chat-podcast-episodios,NO_ACCESS_OR_MISSING,1,includes/modules/podcast/views/episodios.php,http://localhost:10028/wp-admin/admin.php?page=flavor-chat-podcast-episodios,WordPress &rsaquo; Error
flavor-chat-talleres,NO_ACCESS_OR_MISSING,1,includes/modules/talleres/views/talleres.php,http://localhost:10028/wp-admin/admin.php?page=flavor-chat-talleres,WordPress &rsaquo; Error
flavor-compostaje-composteras,AUTH_REQUIRED,2,includes/modules/compostaje/class-compostaje-module.php|includes/modules/compostaje/views/dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-compostaje-composteras,Composteras &lsaquo; sitio prueba &#8212; WordPress
flavor-compostaje-mantenimiento,NO_ACCESS_OR_MISSING,1,includes/modules/compostaje/views/dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-compostaje-mantenimiento,WordPress &rsaquo; Error
flavor-contact-messages,NO_ACCESS_OR_MISSING,1,includes/layouts/class-layout-forms.php,http://localhost:10028/wp-admin/admin.php?page=flavor-contact-messages,WordPress &rsaquo; Error
flavor-dashboard,AUTH_REQUIRED,3,admin/class-setup-wizard.php|admin/class-setup-wizard.php|admin/class-documentation-admin.php,http://localhost:10028/wp-admin/admin.php?page=flavor-dashboard,Dashboard &lsaquo; sitio prueba &#8212; WordPress
flavor-deep-links,AUTH_REQUIRED,1,includes/app-integration/class-app-config-admin.php,http://localhost:10028/wp-admin/admin.php?page=flavor-deep-links,Deep Links &lsaquo; sitio prueba &#8212; WordPress
flavor-design-settings,AUTH_REQUIRED,1,admin/class-documentation-admin.php,http://localhost:10028/wp-admin/admin.php?page=flavor-design-settings,Diseño y Apariencia &lsaquo; sitio prueba &#8212; WordPress
flavor-docs,NO_ACCESS_OR_MISSING,2,admin/class-guided-tours.php|admin/views/tours-panel.php,http://localhost:10028/wp-admin/admin.php?page=flavor-docs,WordPress &rsaquo; Error
flavor-ec-settings,NO_ACCESS_OR_MISSING,1,admin/class-unified-modules-view.php,http://localhost:10028/wp-admin/admin.php?page=flavor-ec-settings,WordPress &rsaquo; Error
flavor-em-automatizaciones,NO_ACCESS_OR_MISSING,9,includes/modules/email-marketing/views/automatizaciones.php|includes/modules/email-marketing/views/automatizaciones.php|includes/modules/email-marketing/views/automatizaciones.php|includes/modules/email-marketing/views/automatizaciones.php|includes/modules/email-marketing/views/automatizaciones.php,http://localhost:10028/wp-admin/admin.php?page=flavor-em-automatizaciones,WordPress &rsaquo; Error
flavor-em-campanias,NO_ACCESS_OR_MISSING,12,includes/modules/email-marketing/views/dashboard.php|includes/modules/email-marketing/views/dashboard.php|includes/modules/email-marketing/views/dashboard.php|includes/modules/email-marketing/views/campanias.php|includes/modules/email-marketing/views/campanias.php,http://localhost:10028/wp-admin/admin.php?page=flavor-em-campanias,WordPress &rsaquo; Error
flavor-em-estadisticas,NO_ACCESS_OR_MISSING,2,includes/modules/email-marketing/views/campanias.php|includes/modules/email-marketing/views/estadisticas.php,http://localhost:10028/wp-admin/admin.php?page=flavor-em-estadisticas,WordPress &rsaquo; Error
flavor-em-suscriptores,NO_ACCESS_OR_MISSING,4,includes/modules/email-marketing/views/listas.php|includes/modules/email-marketing/views/dashboard.php|includes/modules/email-marketing/views/suscriptores.php|includes/modules/email-marketing/assets/js/em-admin.js,http://localhost:10028/wp-admin/admin.php?page=flavor-em-suscriptores,WordPress &rsaquo; Error
flavor-email-marketing,NO_ACCESS_OR_MISSING,1,includes/modules/email-marketing/class-email-marketing-module.php,http://localhost:10028/wp-admin/admin.php?page=flavor-email-marketing,WordPress &rsaquo; Error
flavor-empresarial-contratos,AUTH_REQUIRED,5,includes/modules/empresarial/views/admin-dashboard.php|includes/modules/empresarial/views/admin-contratos.php|includes/modules/empresarial/views/admin-contratos.php|includes/modules/empresarial/views/admin-contratos.php|includes/modules/empresarial/views/admin-contratos.php,http://localhost:10028/wp-admin/admin.php?page=flavor-empresarial-contratos,Contratos &lsaquo; sitio prueba &#8212; WordPress
flavor-empresarial-empresas,AUTH_REQUIRED,1,includes/modules/empresarial/views/admin-dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-empresarial-empresas,Empresas &lsaquo; sitio prueba &#8212; WordPress
flavor-eventos,NO_ACCESS_OR_MISSING,3,admin/class-dashboard.php|admin/class-dashboard.php|includes/dashboard/class-unified-dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-eventos,WordPress &rsaquo; Error
flavor-eventos-settings,NO_ACCESS_OR_MISSING,1,admin/class-unified-modules-view.php,http://localhost:10028/wp-admin/admin.php?page=flavor-eventos-settings,WordPress &rsaquo; Error
flavor-export-import,AUTH_REQUIRED,1,admin/class-dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-export-import,Exportar / Importar &lsaquo; sitio prueba &#8212; WordPress
flavor-foros-dashboard,NO_ACCESS_OR_MISSING,1,includes/modules/foros/class-foros-module.php,http://localhost:10028/wp-admin/admin.php?page=flavor-foros-dashboard,WordPress &rsaquo; Error
flavor-foros-listado,NO_ACCESS_OR_MISSING,2,includes/modules/foros/class-foros-module.php|includes/modules/foros/class-foros-module.php,http://localhost:10028/wp-admin/admin.php?page=flavor-foros-listado,WordPress &rsaquo; Error
flavor-gc-settings,NO_ACCESS_OR_MISSING,1,admin/class-unified-modules-view.php,http://localhost:10028/wp-admin/admin.php?page=flavor-gc-settings,WordPress &rsaquo; Error
flavor-gestion,AUTH_REQUIRED,1,admin/limpiar-cache.php,http://localhost:10028/wp-admin/admin.php?page=flavor-gestion,Dashboard &lsaquo; sitio prueba &#8212; WordPress
flavor-grupos-consumo,NO_ACCESS_OR_MISSING,3,admin/class-dashboard.php|admin/class-dashboard.php|admin/class-dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-grupos-consumo,WordPress &rsaquo; Error
flavor-health-check,AUTH_REQUIRED,4,admin/class-documentation-admin.php|admin/class-documentation-admin.php|admin/views/dashboard.php|includes/dashboard/class-unified-dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-health-check,Diagnóstico &lsaquo; sitio prueba &#8212; WordPress
flavor-incidencias,NO_ACCESS_OR_MISSING,1,admin/class-dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-incidencias,WordPress &rsaquo; Error
flavor-incidencias-tickets,NO_ACCESS_OR_MISSING,5,includes/modules/incidencias/views/tickets.php|includes/modules/incidencias/views/tickets.php|includes/modules/incidencias/views/tickets.php|includes/modules/incidencias/views/categorias.php|includes/modules/incidencias/views/dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-incidencias-tickets,WordPress &rsaquo; Error
flavor-landing-editor,AUTH_REQUIRED,5,includes/editor/class-landing-editor.php|includes/editor/class-landing-editor.php|includes/editor/class-landing-editor.php|includes/editor/class-landing-editor.php|includes/editor/class-landing-editor.php,http://localhost:10028/wp-admin/admin.php?page=flavor-landing-editor,Editor Visual &lsaquo; sitio prueba &#8212; WordPress
flavor-multimedia,NO_ACCESS_OR_MISSING,4,includes/modules/multimedia/views/moderacion.php|includes/modules/multimedia/views/categorias.php|includes/modules/multimedia/views/dashboard.php|includes/modules/multimedia/views/albumes.php,http://localhost:10028/wp-admin/admin.php?page=flavor-multimedia,WordPress &rsaquo; Error
flavor-network,AUTH_REQUIRED,20,dev-scripts/verificar-network.php|dev-scripts/debug-network.php|dev-scripts/debug-network.php|addons/flavor-network-communities/flavor-network-communities.php|addons/flavor-network-communities/includes/class-network-admin.php,http://localhost:10028/wp-admin/admin.php?page=flavor-network,Red de Nodos &lsaquo; sitio prueba &#8212; WordPress
flavor-network-content,NO_ACCESS_OR_MISSING,2,admin/views/dashboard.php|admin/views/dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-network-content,WordPress &rsaquo; Error
flavor-network-directory,NO_ACCESS_OR_MISSING,1,admin/views/dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-network-directory,WordPress &rsaquo; Error
flavor-network-settings,NO_ACCESS_OR_MISSING,3,admin/views/dashboard.php|includes/network/class-network-dashboard-widget.php|includes/dashboard/class-unified-dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-network-settings,WordPress &rsaquo; Error
flavor-newsletter,AUTH_REQUIRED,3,admin/class-newsletter-admin.php|admin/class-newsletter-admin.php|admin/views/newsletter-editor.php,http://localhost:10028/wp-admin/admin.php?page=flavor-newsletter,Newsletter &lsaquo; sitio prueba &#8212; WordPress
flavor-newsletter-editor,AUTH_REQUIRED,3,admin/class-newsletter-admin.php|admin/class-newsletter-admin.php|admin/views/newsletter-editor.php,http://localhost:10028/wp-admin/admin.php?page=flavor-newsletter-editor,&lsaquo; sitio prueba &#8212; WordPress
flavor-parkings-calendario,NO_ACCESS_OR_MISSING,1,includes/modules/parkings/views/dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-parkings-calendario,WordPress &rsaquo; Error
flavor-parkings-plazas,AUTH_REQUIRED,13,includes/modules/parkings/class-parkings-module.php|includes/modules/parkings/class-parkings-module.php|includes/modules/parkings/class-parkings-module.php|includes/modules/parkings/class-parkings-module.php|includes/modules/parkings/class-parkings-module.php,http://localhost:10028/wp-admin/admin.php?page=flavor-parkings-plazas,Plazas &lsaquo; sitio prueba &#8212; WordPress
flavor-parkings-propietarios,NO_ACCESS_OR_MISSING,3,includes/modules/parkings/views/propietarios.php|includes/modules/parkings/views/dashboard.php|includes/modules/parkings/views/dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-parkings-propietarios,WordPress &rsaquo; Error
flavor-parkings-reservas,NO_ACCESS_OR_MISSING,4,includes/modules/parkings/views/plazas.php|includes/modules/parkings/views/dashboard.php|includes/modules/parkings/views/reservas.php|includes/modules/parkings/views/reservas.php,http://localhost:10028/wp-admin/admin.php?page=flavor-parkings-reservas,WordPress &rsaquo; Error
